date,state_ab,state,typeid,type,price,unit
2001-11,MA,Massachusetts,IND,industrial,8.16,cents per kilowatt-hour
2001-11,MA,Massachusetts,OTH,other,16.29,cents per kilowatt-hour
2001-11,MA,Massachusetts,RES,residential,12.74,cents per kilowatt-hour
2001-11,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-10,MA,Massachusetts,ALL,all sectors,12.05,cents per kilowatt-hour
2001-10,MA,Massachusetts,COM,commercial,12.61,cents per kilowatt-hour
2001-10,MA,Massachusetts,IND,industrial,9.04,cents per kilowatt-hour
2001-10,MA,Massachusetts,OTH,other,16.58,cents per kilowatt-hour
2001-10,MA,Massachusetts,RES,residential,12.85,cents per kilowatt-hour
2001-10,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-09,MA,Massachusetts,ALL,all sectors,13.03,cents per kilowatt-hour
2001-09,MA,Massachusetts,COM,commercial,14.38,cents per kilowatt-hour
2001-09,MA,Massachusetts,IND,industrial,9.74,cents per kilowatt-hour
2001-09,MA,Massachusetts,OTH,other,14.68,cents per kilowatt-hour
2001-09,MA,Massachusetts,RES,residential,12.97,cents per kilowatt-hour
2001-09,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-08,MA,Massachusetts,ALL,all sectors,10.23,cents per kilowatt-hour
2001-08,MA,Massachusetts,COM,commercial,8.57,cents per kilowatt-hour
2001-08,MA,Massachusetts,IND,industrial,9.53,cents per kilowatt-hour
2001-08,MA,Massachusetts,OTH,other,16.26,cents per kilowatt-hour
2001-08,MA,Massachusetts,RES,residential,12.62,cents per kilowatt-hour
2001-08,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-07,MA,Massachusetts,ALL,all sectors,13.35,cents per kilowatt-hour
2001-07,MA,Massachusetts,COM,commercial,14.37,cents per kilowatt-hour
2001-07,MA,Massachusetts,IND,industrial,10.83,cents per kilowatt-hour
2001-07,MA,Massachusetts,OTH,other,15.91,cents per kilowatt-hour
2001-07,MA,Massachusetts,RES,residential,13.24,cents per kilowatt-hour
2001-07,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-06,MA,Massachusetts,ALL,all sectors,12.11,cents per kilowatt-hour
2001-06,MA,Massachusetts,COM,commercial,12.68,cents per kilowatt-hour
2001-06,MA,Massachusetts,IND,industrial,9.8,cents per kilowatt-hour
2001-06,MA,Massachusetts,OTH,other,16.22,cents per kilowatt-hour
2001-06,MA,Massachusetts,RES,residential,12.57,cents per kilowatt-hour
2001-06,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-05,MA,Massachusetts,ALL,all sectors,11.45,cents per kilowatt-hour
2001-05,MA,Massachusetts,COM,commercial,11.6,cents per kilowatt-hour
2001-05,MA,Massachusetts,IND,industrial,9.34,cents per kilowatt-hour
2001-05,MA,Massachusetts,OTH,other,15.81,cents per kilowatt-hour
2001-05,MA,Massachusetts,RES,residential,12.47,cents per kilowatt-hour
2001-05,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-04,MA,Massachusetts,ALL,all sectors,11.52,cents per kilowatt-hour
2001-04,MA,Massachusetts,COM,commercial,11.47,cents per kilowatt-hour
2001-04,MA,Massachusetts,IND,industrial,9.57,cents per kilowatt-hour
2001-04,MA,Massachusetts,OTH,other,15.89,cents per kilowatt-hour
2001-04,MA,Massachusetts,RES,residential,12.49,cents per kilowatt-hour
2001-04,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-03,MA,Massachusetts,ALL,all sectors,11.15,cents per kilowatt-hour
2001-03,MA,Massachusetts,COM,commercial,11.08,cents per kilowatt-hour
2001-03,MA,Massachusetts,IND,industrial,9.23,cents per kilowatt-hour
2001-03,MA,Massachusetts,OTH,other,14.69,cents per kilowatt-hour
2001-03,MA,Massachusetts,RES,residential,12.08,cents per kilowatt-hour
2001-03,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-02,MA,Massachusetts,ALL,all sectors,10.93,cents per kilowatt-hour
2001-02,MA,Massachusetts,COM,commercial,10.94,cents per kilowatt-hour
2001-02,MA,Massachusetts,IND,industrial,8.67,cents per kilowatt-hour
2001-02,MA,Massachusetts,OTH,other,14.36,cents per kilowatt-hour
2001-02,MA,Massachusetts,RES,residential,12.03,cents per kilowatt-hour
2001-02,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
2001-01,MA,Massachusetts,ALL,all sectors,10.9,cents per kilowatt-hour
2001-01,MA,Massachusetts,COM,commercial,10.53,cents per kilowatt-hour
2001-01,MA,Massachusetts,IND,industrial,9.32,cents per kilowatt-hour
2001-01,MA,Massachusetts,OTH,other,14.1,cents per kilowatt-hour
2001-01,MA,Massachusetts,RES,residential,11.86,cents per kilowatt-hour
2001-01,MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour
MA,Massachusetts,TRA,transportation,character(0),cents per kilowatt-hour,
